"Notes"	"County of Residence"	"County of Residence Code"	"Mother's Single Race 6"	"Mother's Single Race 6 Code"	"Mother's Pre-pregnancy BMI"	"Mother's Pre-pregnancy BMI Code"	"Pre-pregnancy Diabetes"	"Pre-pregnancy Diabetes Code"	"Pre-pregnancy Hypertension"	"Pre-pregnancy Hypertension Code"	Births	Average Age of Mother (years)	Average Birth Weight (grams)	Average Number of Prenatal Visits
	"Etowah County, AL"	"01055"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	10	25.90	3528.60	7.70
	"Jefferson County, AL"	"01073"	"Black or African American"	"2054-5"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	32	23.91	2724.16	9.75
	"Jefferson County, AL"	"01073"	"Black or African American"	"2054-5"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	17	26.29	2620.53	8.82
	"Jefferson County, AL"	"01073"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	36	30.22	3257.89	10.67
	"Jefferson County, AL"	"01073"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	25	28.16	3288.68	9.92
	"Lee County, AL"	"01081"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	14	28.71	3272.57	10.29
	"Lee County, AL"	"01081"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	13	29.92	3216.46	10.08
	"Madison County, AL"	"01089"	"Black or African American"	"2054-5"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	11	25.82	3217.91	9.55
	"Madison County, AL"	"01089"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	58	27.67	3398.29	10.24
	"Madison County, AL"	"01089"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	31	29.77	3420.10	9.84
	"Madison County, AL"	"01089"	"White"	"2106-3"	"Obesity I 30.0-34.9"	"4"	"No"	"2"	"No"	"2"	14	25.21	3127.43	9.00
	"Mobile County, AL"	"01097"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	34	26.29	3445.29	10.38
	"Mobile County, AL"	"01097"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	16	27.38	3106.56	10.12
	"Morgan County, AL"	"01103"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	17	26.71	3195.18	10.18
	"Morgan County, AL"	"01103"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	26	25.35	3261.50	8.23
	"Unidentified Counties, AL"	"01999"	"Black or African American"	"2054-5"	"Underweight <18.5"	"1"	"No"	"2"	"No"	"2"	12	22.83	2983.83	10.00
	"Unidentified Counties, AL"	"01999"	"Black or African American"	"2054-5"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	35	23.69	2789.29	9.14
	"Unidentified Counties, AL"	"01999"	"Black or African American"	"2054-5"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	21	25.29	3216.67	11.00
	"Unidentified Counties, AL"	"01999"	"Black or African American"	"2054-5"	"Obesity I 30.0-34.9"	"4"	"No"	"2"	"No"	"2"	18	26.89	3204.17	10.72
	"Unidentified Counties, AL"	"01999"	"Black or African American"	"2054-5"	"Extreme Obesity III > 39.9"	"6"	"No"	"2"	"No"	"2"	10	26.70	3154.40	9.70
	"Unidentified Counties, AL"	"01999"	"White"	"2106-3"	"Underweight <18.5"	"1"	"No"	"2"	"No"	"2"	19	22.32	3287.79	9.68
	"Unidentified Counties, AL"	"01999"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	153	26.31	3243.23	10.65
	"Unidentified Counties, AL"	"01999"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	87	27.18	3324.48	10.03
	"Unidentified Counties, AL"	"01999"	"White"	"2106-3"	"Obesity I 30.0-34.9"	"4"	"No"	"2"	"No"	"2"	67	27.57	3117.15	9.98
	"Unidentified Counties, AL"	"01999"	"White"	"2106-3"	"Obesity II 35.0-39.9"	"5"	"No"	"2"	"No"	"2"	26	27.65	3336.96	10.31
